"","GSM1371025","GSM1371026","GSM1371027","GSM1371028","GSM1371029","GSM1371030","GSM1371031","GSM1371032","GSM1371033","GSM1371034"
"SYPL1",9.13023544291419,9.14473080878911,9.09849132261297,9.19298514350331,9.94237567440559,9.95830884757054,8.43992472051234,8.52117148159228,8.48318447409691,8.61763714274918
"SYT1",10.5269336205906,10.5242986022057,10.4575315299587,10.4729777348188,9.50403255483486,9.54820315671866,10.9241799266012,11.0094480559559,10.9322638646772,10.9998009305133
"TAC1",8.87030210702709,8.79304949866629,7.30673049911435,7.35713156213746,4.67431947816502,5.14233380621491,10.8667058582023,10.7253214744131,11.5808958182874,11.5473372699747
"TAC3",8.82857737531689,8.94560371629523,9.24739122030009,9.24773642359767,9.59837524093982,9.45723885248139,7.97801015634193,8.19694384287449,8.17432496387259,8.17821314218554
"TAF4B",7.80329071780355,7.57142537542078,7.91226097457824,7.89845452843569,9.09613726676059,9.39314630955881,6.76204669423246,6.70991445936946,6.33764596481962,6.23542969164648
"TAGLN",13.0651870433449,13.0877187860979,12.902332289037,12.9122972268386,9.27212968103648,9.24359924249526,10.209358560288,10.2287942719221,10.7142684158111,10.70096006974
"KLF5",5.79619901457473,5.35183153698309,5.39119740677923,4.99401523983296,4.10658691649513,4.08450878716842,3.82984947174178,3.69937834093965,3.98118842769753,3.73845400811927
"MAP3K7",9.18581623186447,9.23389296972994,9.27514026433094,9.32794448136113,8.0387424776613,8.11167740636386,8.68035975324393,8.74442610446072,8.81429689751609,8.76706744985916
"TAP2",5.64703928150336,5.68277117300862,5.8359914436878,5.72797087028605,6.55887510018287,6.8538115825037,4.7322836061172,4.88255551618286,4.44075566522978,4.62473759916103
"CNTN2",7.57953352356404,7.65916911232778,7.73122559512233,7.80968995235286,4.87030772306473,4.89893987901666,9.27205043647225,9.39042086274782,8.73639511609312,8.79146763358232
"TCEA3",6.39714014893143,6.37941685725256,6.36105602431354,6.92251594331396,4.77709729916154,5.10624680791558,5.91197300480796,5.95287787085326,5.95006796679614,6.10669917681053
"ZEB1",11.1976997648228,11.212957378392,11.2268147793188,11.2455204962243,4.13401898645447,4.28127402339902,11.6714916649366,11.6331702439074,11.8750009504221,11.8020951801161
"TCF12",6.88989624242287,6.834003538918,6.95369563524587,6.88440157928405,5.87121837228657,5.84912750885319,6.32656362077437,6.52855671938082,6.62081635540832,6.50440667748516
"TDO2",5.24458018415863,5.24208759259565,4.9495622127445,5.04699133349028,3.02420530172593,3.23868170831882,4.6448938970442,4.70237176007603,4.58677846227317,4.20582563015387
"ACTC1",12.2326846444465,12.2622650948895,12.0606202767233,12.0963788215588,8.32385226461747,8.27090119831272,8.659594494575,8.7675573272966,9.11718612964221,9.13314052604346
"TEAD1",11.3820966650177,11.3738312058477,11.3165335635472,11.3202120986777,10.1144015345979,10.1115928675971,11.1510914700138,11.2481777624355,11.1875036605436,11.1869116294612
"TEAD4",7.63507224871914,7.69860254450389,7.54455395365494,7.66977282452105,8.87978328025611,8.91692225625669,6.80200416392843,7.07213597491144,6.82257785424125,6.714466913309
"TEK",8.15068084780258,8.1497775421398,8.02238482700049,8.07955719380519,7.84717246700517,7.91383755875277,6.82808928687816,6.82199181415785,6.36021417112456,6.28943636817517
"TFAP2A",8.32768596931828,8.16057090222042,8.11050778843449,8.25550731726215,9.26649802576749,9.21370681651834,7.8067119464159,7.90845805399637,7.32385685903802,7.45607014335248
